year,industrial,domestic,agriculture,commercial,misc,traction
1947,2960.0196,422.8002,125.0418,178.1532,219.1368,276.8484
1950,4057.152,525.096,162.129,309.111,249.084,307.989
1956,7514.045,933.8,315.665,546.07,435.435,404.985
1961,12547.5468,1492.1952,833.4784,848.602,630.15,453.708
1966,22594.5645,2354.1715,1891.2555,1650.661,904.5135,1056.7885
1974,37789.8714,4644.5652,6311.2752,2988.9666,2294.5041,1533.3732
1979,54443.6405,7577.251,12029.516,4326.2575,3444.205,2184.13
1985,73520.6238,15508.8405,20964.9627,6938.4933,4770.9927,2877.5439
1990,100377.921,29576.8568,44053.1284,9540.2922,7472.2534,4077.5482
1997,139265.3598,55271.0382,84025.851,17530.3464,12643.2894,6589.6446
2002,159497.019,79692.309,81678.06,24128.748,21543.525,8092.872
2007,241230.8808,111021.9264,99036.6048,40213.908,23392.404,10776.276
2012,353337.3,172742.68,141334.92,62815.52,39259.7,15703.88
2013,365989.644,183736.6929,147467.4489,72785.7783,40225.8888,14095.5471
2014,380570.3154,202318.479,160356.1278,77577.456,45312.2868,15427.335
2015,395244.483,220905.0519,173212.8435,82334.7771,50414.7951,16804.9317
2016,423503.793,238884.1726,173206.043,86002.3069,62974.9139,16619.7706
2017,426613.8268,259316.3776,195446.9244,98309.9096,69307.42,17166.9148
