homelat,homelon,type,n
28.1839,73.2407,Solar,2.5
24.7663,74.609,Coal,98
21.9038,69.3732,Wind,39.2
23.8712,91.3602,Gas,135
21.9603,82.4091,Coal,1800
23.7689,68.6447,Coal,250
10.4547,77.0078,Hydro,60
32.2258,77.207,Hydro,192
16.33,75.8863,Hydro,290
23.1642,81.6373,Coal,210
21.0782,77.9009,Coal,1350
31.2717,76.4938,Hydro,134
24.2007,82.8,Coal,1200
31.2412,77.8769,Hydro,16.95
24.201,82.7891,Coal,2630
25.1797,76.3188,Gas,419.33
23.0666,81.7841,Coal,600
23.0655,81.7865,Coal,1200
18.0845,76.1851,Biomass,10
19.5867,74.7061,Biomass,17
16.7708,74.9191,Biomass,24
26.6282,79.5286,Gas,652
21.7438,83.2741,Coal,600
19.7881,79.1518,Coal,46
28.3615,74.2402,Solar,1
14.5751,76.3926,Wind,16.5
14.9455,77.687,Solar,50
18.858,73.6396,Wind,113.6
10.7245,77.1893,Wind,19.8
14.4791,76.3482,Wind,13.2
27.3473,71.6917,Solar,5
27.36,71.6918,Solar,5
27.3632,71.6918,Solar,5
27.3661,71.6916,Solar,5
27.3537,71.6917,Solar,5
27.3504,71.6918,Solar,5
27.3566,71.6917,Solar,5
13.0977,80.2695,Oil,200
28.506,77.3066,Coal,705
16.2804,75.225,Biomass,28
33.1815,75.3155,Hydro,450
32.8063,76.1418,Hydro,180
23.8285,87.4513,Coal,1050
18.1396,82.1221,Hydro,510
19.8601,79.3421,Coal,67.5
24.6929,74.689,Coal,10
22.3421,82.4305,Coal,300
22.9956,88.4042,Coal,455
32.1686,76.4695,Hydro,12
24.1917,81.2875,Hydro,315
24.1917,81.2875,Hydro,30
24.1917,81.2875,Hydro,60
24.223,81.2747,Hydro,20
23.6026,74.2562,Coal,20
21.9114,83.1889,Coal,1200
23.807,91.565,Gas,42
25.3999,86.0218,Coal,720
22.9417,79.925,Hydro,90
25.4865,85.7452,Coal,1320
28.4723,79.8066,Coal,90
27.8453,73.2,Coal,250
13.1021,80.2682,Gas,120
31.4306,78.241,Hydro,300
31.9546,76.7986,Hydro,64
17.3816,74.5345,Wind,20
20.805,79.0547,Coal,270
16.6505,74.8209,Biomass,22.8
16.2774,74.7111,Biomass,15
15.1831,76.7909,Coal,10
15.1777,77.1036,Coal,18
15.1932,76.7195,Coal,1700
13.7008,75.6373,Hydro,39.2
13.8274,75.7131,Coal,41
31.4107,76.4328,Hydro,1325
21.232,79.6311,Coal,15
21.0813,79.7708,Biomass,10
19.5555,73.8087,Hydro,34
18.1012,73.7252,Hydro,16
19.5132,73.4173,Hydro,15
21.5837,72.2222,Coal,500
11.331,77.758,Hydro,30
11.2428,77.8659,Hydro,30
11.3842,77.7145,Hydro,30
18.2416,74.7529,Coal,30
21.184,81.4237,Coal,500
18.455,73.3907,Hydro,300
18.4426,73.3498,Hydro,80
18.9368,73.4527,Hydro,75
21.0483,75.8425,Coal,1210
25.2267,74.6216,Biomass,10
24.2508,78.1606,Coal,99
23.3172,78.1336,Coal,500
24.8263,73.0901,Coal,69.6
22.0103,83.2058,Coal,600
32.1121,76.6537,Hydro,6
23.3256,81.0333,Hydro,20
