country,country_long,name,capacity_mw,latitude,longitude,primary_fuel
IND,India,ACME Solar Tower,2.5,28.1839,73.2407,Solar
IND,India,ADITYA CEMENT WORKS,98,24.7663,74.609,Coal
IND,India,AES Saurashtra Windfarms,39.2,21.9038,69.3732,Wind
IND,India,AGARTALA GT,135,23.8712,91.3602,Gas
IND,India,AKALTARA TPP,1800,21.9603,82.4091,Coal
IND,India,AKRIMOTA LIG,250,23.7689,68.6447,Coal
IND,India,ALIYAR,60,10.4547,77.0078,Hydro
IND,India,ALLAIN DUHANGAN,192,32.2258,77.207,Hydro
IND,India,ALMATTI DAM,290,16.33,75.8863,Hydro
IND,India,AMAR KANTAK,210,23.1642,81.6373,Coal
IND,India,AMARAVATI TPP,1350,21.0782,77.9009,Coal
IND,India,ANANDPUR SAHIB ST-I&II,134,31.2717,76.4938,Hydro
IND,India,"ANAPARA ""C""",1200,24.2007,82.8,Coal
IND,India,ANDHRA,16.95,31.2412,77.8769,Hydro
IND,India,ANPARA,2630,24.201,82.7891,Coal
IND,India,ANTA GT,419.33,25.1797,76.3188,Gas
IND,India,ANUPPUR,600,23.0666,81.7841,Coal
IND,India,ANUPUR TPP,1200,23.0655,81.7865,Coal
IND,India,ARVINDNAGAR SUGAR,10,18.0845,76.1851,Biomass
IND,India,ASHOKNAGAR MILL,17,19.5867,74.7061,Biomass
IND,India,ATHANI SUGAR,24,16.7708,74.9191,Biomass
IND,India,AURAIYA GT,652,26.6282,79.5286,Gas
IND,India,AVANTHA BHANDAR TPP,600,21.7438,83.2741,Coal
IND,India,AWARPUR CEMENT PLANT,46,19.7881,79.1518,Coal
IND,India,Amarsar Solar Power Plant,1,28.3615,74.2402,Solar
IND,India,Anabura Wind Farm,16.5,14.5751,76.3926,Wind
IND,India,Ananthapur - Meil Solar Power Plant,50,14.9455,77.687,Solar
IND,India,Andrha Lake Wind Farm,113.6,18.858,73.6396,Wind
IND,India,Anikkadavu Wind Farm,19.8,10.7245,77.1893,Wind
IND,India,Arasinagundi Wind Farm,13.2,14.4791,76.3482,Wind
IND,India,Askandra - DREPL Solar Power Plant,5,27.3473,71.6917,Solar
IND,India,Askandra - Electromech Maritech Solar Power Plant,5,27.36,71.6918,Solar
IND,India,Askandra - Finehope Solar Power Plant,5,27.3632,71.6918,Solar
IND,India,Askandra - Khaya Solar Power Plant,5,27.3661,71.6916,Solar
IND,India,Askandra - Newton Solar Power Plant,5,27.3537,71.6917,Solar
IND,India,Askandra - Saidham Solar Power Plant,5,27.3504,71.6918,Solar
IND,India,Askandra - Vasavi Solar Power Plant,5,27.3566,71.6917,Solar
IND,India,B. BRIDGE D.G,200,13.0977,80.2695,Oil
IND,India,BADARPUR,705,28.506,77.3066,Coal
IND,India,BAGALKOT ICP,28,16.2804,75.225,Biomass
IND,India,BAGLIHAR HEP,450,33.1815,75.3155,Hydro
IND,India,BAIRA SIUL,180,32.8063,76.1418,Hydro
IND,India,BAKRESWAR,1050,23.8285,87.4513,Coal
IND,India,BALIMELA,510,18.1396,82.1221,Hydro
IND,India,BALLARPUR BILT POWER,67.5,19.8601,79.3421,Coal
IND,India,BAMANIA CEMENT,10,24.6929,74.689,Coal
IND,India,BANDAKHAR TPP,300,22.3421,82.4305,Coal
IND,India,BANDEL,455,22.9956,88.4042,Coal
IND,India,BANER,12,32.1686,76.4695,Hydro
IND,India,BANSAGAR (I),315,24.1917,81.2875,Hydro
IND,India,BANSAGAR (II),30,24.1917,81.2875,Hydro
IND,India,BANSAGAR (III),60,24.1917,81.2875,Hydro
IND,India,BANSAGAR (IV),20,24.223,81.2747,Hydro
IND,India,BANSWARA CEMENT,20,23.6026,74.2562,Coal
IND,India,BARADARHA TPP,1200,21.9114,83.1889,Coal
IND,India,BARAMURA,42,23.807,91.565,Gas
IND,India,BARAUNI,720,25.3999,86.0218,Coal
IND,India,BARGI,90,22.9417,79.925,Hydro
IND,India,BARH STPP II,1320,25.4865,85.7452,Coal
IND,India,BARKHERA TPP,90,28.4723,79.8066,Coal
IND,India,BARSINGAR LIGNITE,250,27.8453,73.2,Coal
IND,India,BASIN BRIDGE GT,120,13.1021,80.2682,Gas
IND,India,BASPA,300,31.4306,78.241,Hydro
IND,India,BASSI,64,31.9546,76.7986,Hydro
IND,India,BEL Chikhalhol Wind Farm,20,17.3816,74.5345,Wind
IND,India,BELA NAGPUR,270,20.805,79.0547,Coal
IND,India,BELGAUM UGAR,22.8,16.6505,74.8209,Biomass
IND,India,BELLAD-BAGEWADI,15,16.2774,74.7111,Biomass
IND,India,BELLARY HOTHUR,10,15.1831,76.7909,Coal
IND,India,BELLARY JANKI,18,15.1777,77.1036,Coal
IND,India,BELLARY TPS,1700,15.1932,76.7195,Coal
IND,India,BHADRA,39.2,13.7008,75.6373,Hydro
IND,India,BHADRAVATI MILL,41,13.8274,75.7131,Coal
IND,India,BHAKRA,1325,31.4107,76.4328,Hydro
IND,India,BHANDARA STEEL MILL,15,21.232,79.6311,Coal
